race,driver,quali_pos
Yas Marina Circuit,George Russell,17
Yas Marina Circuit,Pierre Gasly,12
Yas Marina Circuit,Nikita Mazepin,20
Yas Marina Circuit,Mick Schumacher,19
Yas Marina Circuit,Antonio Giovinazzi,14
Yas Marina Circuit,Kimi Räikkönen,18
Yas Marina Circuit,Lance Stroll,13
Yas Marina Circuit,Sebastian Vettel,15
Yas Marina Circuit,Max Verstappen,1
Yas Marina Circuit,Sergio Pérez,4
Yas Marina Circuit,Yuki Tsunoda,8
Yas Marina Circuit,Lewis Hamilton,2
Yas Marina Circuit,Esteban Ocon,9
Yas Marina Circuit,Fernando Alonso,11
Yas Marina Circuit,Charles Leclerc,7
Yas Marina Circuit,Carlos Sainz,5
Yas Marina Circuit,Lando Norris,3
Yas Marina Circuit,Daniel Ricciardo,10
Yas Marina Circuit,Nicholas Latifi,16
Yas Marina Circuit,Valtteri Bottas,6
